,imdbID,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,rating_cat,genres_code
92086,tt12969078,Atkan Chatkan,Atkan Chatkan,2020.0,126.0,Drama,7.7,4233,high,8
100385,tt1479676,Cooking with Stella,Cooking with Stella,2009.0,104.0,Drama,5.4,322,middle,8
82047,tt1071211,Elvis & Madonna,Elvis & Madona,2010.0,105.0,Comedy,6.4,249,middle,5
4874,tt0023681,West of Broadway,West of Broadway,1931.0,68.0,Drama,6.4,638,middle,8
109290,tt1756750,Starbuck,Starbuck,2011.0,109.0,Comedy,7.2,16968,high,5
26836,tt0069789,The Black Alley Cats,The Black Alley Cats,1973.0,81.0,Drama,4.7,145,middle,8
22056,tt0058901,Latin Lovers,Gli amanti latini,1965.0,95.0,Comedy,6.0,58,middle,5
144353,tt4762684,Travis: The True Story of Travis Walton,Travis: The True Story of Travis Walton,2015.0,90.0,Documentary,6.9,637,high,7
74113,tt0496319,The Hottest State,The Hottest State,2006.0,117.0,Drama,6.0,2887,middle,8
133999,tt3289126,Once in a Lifetime,Les héritiers,2014.0,105.0,Comedy,7.1,2106,high,5
30994,tt0080778,Gay Club,Gay Club,1981.0,93.81829253746335,Comedy,6.8,30,high,5
77019,tt0893582,Coyote Funeral,Coyote Funeral,2006.0,87.0,Drama,7.6,48,high,8
36716,tt0096918,Beverly Hills Brats,Beverly Hills Brats,1989.0,90.0,Comedy,3.7,372,middle,5
145194,tt4900386,Father Joseph,Father Joseph,2015.0,71.0,Documentary,8.5,14,high,7
87085,tt1177094,Surviving Crooked Lake,Surviving Crooked Lake,2008.0,89.0,Thriller,5.1,332,middle,24
24943,tt0065485,Bongo Wolf's Revenge,Bongo Wolf's Revenge,1970.0,72.0,Drama,6.9,8,high,8
124921,tt2459920,Truth,Truth,2013.0,94.0,Drama,5.1,776,middle,8
139995,tt4068576,The Nightingale,The Nightingale,2018.0,136.0,Thriller,7.3,34720,high,24
32282,tt0084529,"Go Ahead, Brazil!","Pra Frente, Brasil",1982.0,105.0,Crime,7.3,517,high,6
34590,tt0091238,Hyper Sapien: People from Another Star,Hyper Sapien: People from Another Star,1986.0,92.0,Family,4.7,286,middle,9
143856,tt4673790,Vazante,Vazante,2017.0,116.0,Drama,6.4,663,middle,8
61186,tt0286864,The One and Only,The One and Only,2002.0,91.0,Romance,5.9,770,middle,20
46097,tt0126639,Burning Memory,Resisim,1989.0,93.0,Drama,7.5,10,high,8
113483,tt1950274,Mulberry Child,Mulberry Child,2011.0,85.0,Drama,7.9,53,high,8
45139,tt0120820,Senseless,Senseless,1998.0,93.0,Romance,6.0,17564,middle,20
134571,tt3350244,Mentor,Mentor,2014.0,80.0,Drama,7.3,123,high,8
22058,tt0058905,The Amorous Adventures of Moll Flanders,The Amorous Adventures of Moll Flanders,1965.0,126.0,Comedy,5.7,684,middle,5
52018,tt0181053,That Lady from Peking,That Lady from Peking,1971.0,93.0,Drama,6.3,40,middle,8
99618,tt14596592,High Tech Airport,High Tech Airport,2017.0,74.0,Documentary,7.0,5,high,7
