,imdbID,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,rating_cat,genres_code
22511,tt0059844,Devil at My Heels,Une balle au coeur,1966.0,81.0,Crime,5.6,54,middle,6
45142,tt0120828,Six Days Seven Nights,Six Days Seven Nights,1998.0,102.0,Adventure,5.2,82577,middle,2
31643,tt0082620,Kiss Daddy Goodbye,Kiss Daddy Goodbye,1981.0,92.0,Horror,2.0,332,low,14
103696,tt1553220,Puppy,Puppy,2007.0,79.0,Horror,6.5,23,middle,14
75657,tt0819359,Busgirl,Busgirl,2006.0,82.0,Drama,5.4,16,middle,8
52566,tt0185485,Memória de Helena,Memória de Helena,1969.0,80.0,Drama,6.8,39,high,8
98168,tt14242630,Move Me No Mountain,Move Me No Mountain,2023.0,84.0,Drama,4.1,82,middle,8
9356,tt0032281,Brigham Young,Brigham Young,1940.0,114.0,Drama,4.7,1124,middle,8
12525,tt0038398,Carnival,Carnival,1946.0,93.0,Drama,4.1,163,middle,8
111735,tt18560214,Backwards Faces,Backwards Faces,2022.0,68.0,Sci-Fi,7.4,129,high,21
37053,tt0097714,Last Exit to Brooklyn,Last Exit to Brooklyn,1989.0,102.0,Drama,6.4,6821,middle,8
152999,tt6165792,Radiance,Hikari,2017.0,101.0,Romance,8.6,1968,high,20
40355,tt0107207,In the Name of the Father,In the Name of the Father,1993.0,133.0,Drama,10.0,184913,high,8
84124,tt11131032,League of Legends Origins,League of Legends Origins,2019.0,77.0,Documentary,5.4,1063,middle,7
87754,tt1190537,Bloodline,Bloodline,2008.0,113.0,Mystery,6.8,404,high,17
165724,tt9032070,2030,2030,2018.0,103.0,Documentary,5.3,34,middle,7
8960,tt0031556,The Law Comes to Texas,The Law Comes to Texas,1939.0,61.0,Drama,6.9,14,high,8
64194,tt0327594,Reeseville,Reeseville,2003.0,99.0,Mystery,4.5,181,middle,17
103029,tt15396826,For Roger,For Roger,2021.0,88.0,Drama,4.3,15,middle,8
97129,tt13998258,"Mindless Self Indulgence: Our Pain, Your Gain","Mindless Self Indulgence: Our Pain, Your Gain",2007.0,10.0,Music,high,7,high,15
19615,tt0053577,Aimless Bullet,Obaltan,1961.0,110.0,Drama,10.0,759,high,8
6225,tt0026449,An Innocent Maid,Hakoiri musume,1935.0,67.0,Drama,5.9,56,middle,8
4996,tt0023937,Passing Fancy,Dekigokoro,1933.0,100.0,Drama,7.2,1454,high,8
127528,tt2675794,The Last Taboo,The Last Taboo,2013.0,50.0,Documentary,8.4,32,high,7
161702,tt7995346,The New Hands,The New Hands,2023.0,93.81829253746335,Horror,8.7,48,high,14
92194,tt12986942,Tiki Taka,Tiki Taka,2020.0,104.0,Comedy,4.9,3024,middle,5
154098,tt6344696,Trinity Seven: Eternity Library & Alchemic Girl,Gekijouban Toriniti sebun: Yuukyuu toshokan to rekinjutsu shoujo,2017.0,55.0,Animation,6.8,480,high,3
34029,tt0089628,Movers & Shakers,Movers & Shakers,1985.0,80.0,Comedy,4.4,579,middle,5
145150,tt4893178,Returning Citizens,Returning Citizens,2017.0,69.0,Documentary,7.8,35,high,7
90032,tt12470742,Bad Folks,Bad Folks,2021.0,93.81829253746335,Thriller,4.7,18,middle,24
28602,tt0074345,The Last Round,Il conto è chiuso,1976.0,95.0,Drama,8.2,229,high,8
131807,tt3046084,Try to Remember,Wuri mannan Jeok Issnayo,2010.0,100.0,Drama,4.2,35,middle,8
58504,tt0251370,Rennie's Landing,Rennie's Landing,2001.0,103.0,Drama,6.9,576,high,8
129923,tt2854876,Stepping High,Stepping High,2013.0,98.0,Drama,3.6,142,middle,8
161408,tt7933596,Mobile Suit Gundam Thunderbolt: Bandit Flower,Mobile Suit Gundam Thunderbolt: Bandit Flower,2017.0,90.0,Drama,4.8,343,middle,8
147489,tt5254198,Beyond the Tryline,Beyond the Tryline,2016.0,91.0,Sport,9.0,83,high,22
167562,tt9587604,How to Stop a Recurring Dream,How to Stop a Recurring Dream,2020.0,82.0,Drama,6.9,112,high,8
115044,tt2024555,"High Heels, Low Tide",Weekend aan Zee,2012.0,87.0,Drama,4.8,351,middle,8
51704,tt0178543,"Gungala, the Virgin of the Jungle",Gungala la vergine della giungla,1967.0,87.0,Adventure,4.5,112,middle,2
140232,tt4094144,The Strongest Man,The Strongest Man,2015.0,99.0,Comedy,5.4,227,middle,5
99878,tt14663154,Soul Mates,Les âmes soeurs,2023.0,100.0,Drama,4.6,167,middle,8
21014,tt0056568,Term of Trial,Term of Trial,1962.0,130.0,Drama,6.9,849,high,8
66694,tt0369877,Rivals,Rivals,2003.0,89.0,Drama,7.3,16,high,8
166194,tt9137056,Toshimaen: Haunted Park,Eiga: Toshimaen,2019.0,81.0,Horror,1.0,90,low,14
89816,tt12418334,Book of Laughter,Xi men xi xiao lu,2020.0,78.0,Fantasy,5.7,6,middle,10
98066,tt14217100,Ferry,Ferry,2021.0,106.0,Crime,7.4,12770,high,6
147012,tt5178278,Vedalam,Vedalam,2015.0,148.0,Drama,6.8,8186,high,8
39377,tt0104374,The Undeclared War,La guerre sans nom,1992.0,247.0,War,7.0,109,high,25
78696,tt10045688,Gail's New Boyfriend,Gail's New Boyfriend,2019.0,93.0,Romance,6.8,28,high,20
102402,tt15258032,Lonesome,Lonesome,2022.0,95.0,Drama,3.3,835,low,8
159871,tt7554756,Godspell,Godspell,2017.0,93.81829253746335,Comedy,3.8,28,middle,5
122277,tt2328772,Apollyon - The Black Awakening,Apollyon,2021.0,74.0,Horror,5.3,55,middle,14
157554,tt7087590,FredHeads: The Documentary,FredHeads: The Documentary,2022.0,93.81829253746335,Documentary,8.3,29,high,7
14267,tt0041724,Outpost in Morocco,Outpost in Morocco,1949.0,92.0,Adventure,3.2,488,low,2
74717,tt0780621,Gone with the Woman,Tatt av kvinnen,2007.0,90.0,Comedy,5.0,2116,middle,5
56769,tt0228193,Deadly Love,Deadly Love,1987.0,90.0,Horror,8.5,84,high,14
52835,tt0188050,Mardy Murie: Arctic Dance,Mardy Murie: Arctic Dance,1999.0,93.81829253746335,Documentary,10.0,18,high,7
2753,tt0018543,Voyage au Congo,Voyage au Congo,1927.0,94.0,Documentary,6.4,55,middle,7
70508,tt0435705,Next,Next,2007.0,96.0,Action,7.2,164921,high,0
51662,tt0178022,Siam Sunset,Siam Sunset,1999.0,91.0,Comedy,6.3,1247,middle,5
128381,tt27494059,Harley,Harley,2023.0,125.0,Action,1.0,292,low,0
116423,tt2088950,The Show,This Is Your Death,2017.0,104.0,Drama,6.9,5567,high,8
2739,tt0018503,The Ghost Train,El tren fantasma,1927.0,66.0,Romance,6.9,57,high,20
11153,tt0035767,The Crime Doctor's Strangest Case,Crime Doctor's Strangest Case,1943.0,68.0,Crime,5.2,353,middle,6
53754,tt0196881,A Taste of Death,Quanto costa morire,1968.0,92.0,Western,6.4,109,middle,26
11175,tt0035798,The Desperadoes,The Desperadoes,1943.0,87.0,Western,6.8,1574,high,26
112137,tt1874633,Musical Chairs,Musical Chairs,2011.0,102.0,Romance,3.0,338,low,20
83118,tt10928202,Hawa,Hawa,2022.0,131.0,Mystery,7.9,6233,high,17
3013,tt0019419,Stand and Deliver,Stand and Deliver,1928.0,60.0,Romance,5.0,45,middle,20
26037,tt0067903,A Girl Is a Gun,Une aventure de Billy le Kid,1971.0,100.0,Drama,5.0,182,middle,8
128545,tt2756910,Pretend We're Kissing,Pretend We're Kissing,2014.0,78.0,Drama,5.4,372,middle,8
125544,tt25154848,Down Bad: Life in the Hood,Down Bad: Life in the Hood,2023.0,149.0,Drama,9.5,275,high,8
68558,tt0401449,Greed,Greed,2006.0,93.0,Thriller,2.9,406,low,24
122011,tt2316852,What She Wants for Christmas,What She Wants for Christmas,2012.0,84.0,Family,2.7,147,low,9
79465,tt1020886,Life Is Journey,Life Is Journey,2003.0,51.0,Drama,6.9,12,high,8
16098,tt0045547,The Beggar's Opera,The Beggar's Opera,1953.0,94.0,Crime,5.8,393,middle,6
2382,tt0017304,Racing Romance,Racing Romance,1926.0,60.0,Adventure,8.3,20,high,2
146896,tt5161392,The Ties That Bind,The Ties That Bind,2015.0,57.0,Documentary,4.9,310,middle,7
125047,tt2468498,Club Lingerie,Club Lingerie,2014.0,82.0,Mystery,3.1,112,low,17
167898,tt9676318,Deery: Off the Wall,Deery: Off the Wall,2019.0,79.0,Romance,6.7,20,middle,20
120041,tt2226495,Not Safe for Work,Not Safe for Work,2014.0,74.0,Thriller,3.2,4748,low,24
130537,tt29180229,Bigfoot Goes to Hell,Bigfoot Goes to Hell,2023.0,76.0,Animation,7.7,6,high,3
76509,tt0861772,Ghost Image,Ghost Image,2007.0,96.0,Thriller,4.3,579,middle,24
91063,tt12740648,Suicide Forest Village,Jukai Mura,2021.0,117.0,Drama,2.1,772,low,8
127803,tt2705666,A Moment in Time,A Moment in Time,2013.0,105.0,Romance,8.0,122,high,20
66122,tt0362478,The Box,The Box,2009.0,115.0,Drama,3.1,94655,low,8
158529,tt7286500,Marmalade Boy,Mamarêdo bôi: Marmalade Boy,2018.0,127.0,Romance,5.8,385,middle,20
32360,tt0084728,Starstruck,Starstruck,1982.0,105.0,Drama,6.9,1253,high,8
132082,tt3087878,Fragments of Kubelka,Fragments of Kubelka,2012.0,232.0,Documentary,6.4,12,middle,7
126482,tt2607614,Terror in Woods Creek,Deadlines,2017.0,91.0,Thriller,5.4,74,middle,24
5230,tt0024422,Out All Night,Out All Night,1933.0,68.0,Romance,5.9,77,middle,20
40862,tt0108612,The True-Hearted,Xin xiang,1992.0,97.0,Music,8.4,45,high,15
8495,tt0030691,Romance in the Dark,Romance in the Dark,1938.0,77.0,Music,10.0,73,high,15
63016,tt0309912,Nicholas Nickleby,Nicholas Nickleby,2002.0,132.0,Adventure,7.1,13471,high,2
85523,tt11409526,My Hubby Has Fallen in Love,Shohar joonam ashegh shode,1976.0,93.81829253746335,Drama,4.0,17,middle,8
14070,tt0041311,Down Dakota Way,Down Dakota Way,1949.0,67.0,Music,3.2,158,low,15
152000,tt6022946,Great Great Great,Great Great Great,2017.0,80.0,Romance,4.8,208,middle,20
72567,tt0469236,Callback,Callback,2007.0,93.81829253746335,Comedy,6.1,33,middle,5
157282,tt7019942,Super Deluxe,Super Deluxe,2019.0,176.0,Drama,9.6,17137,high,8
136058,tt3525412,EXHIBITION: Vermeer and Music: The Art of Love and Leisure,Exhibition on Screen: Vermeer and Music,2013.0,85.0,Documentary,10.0,33,high,7
52977,tt0189201,The Big Day,The Big Day,1999.0,88.0,Comedy,3.6,513,middle,5
31507,tt0082315,El Salvador: Another Vietnam,El Salvador: Another Vietnam,1981.0,53.0,Documentary,6.3,45,middle,7
144447,tt4777004,Fixed,Fixed,2017.0,92.0,Comedy,1.0,240,low,5
110505,tt1813774,Above Us Only Sky,Über uns das All,2011.0,88.0,Drama,9.7,735,high,8
28079,tt0072819,The Sex Machine,Conviene far bene l'amore,1975.0,104.0,Comedy,6.6,218,middle,5
